0;20
276;337;24
277;148;201
278;305;265
279;208;23
280;338;422
281;50;71
282;432
283;356;230
284;288;254
285;205;131
286;118;244
287;315;92
288;292;284
289;348;427
290;204;222
291;399;260
292;142;288
293;298;248
294;261;321
295;472;409
296;131;30
297;405;368
298;213;293
299;335;242
300;380;339
301;155;162
302;235;419
303;92;144
304;132;223
305;25;278;439
306;129;112
307;485;489
308;463;495
309;397;348
310;113;118
311;222;119
312;117;274
313;346
314;270;252;325
315;321;287
316;242;401
317;428;365
318;336;479
319;48;213
320;493
321;294;315
322;9;197
323;366;431
324;99;140
325;314
326;260;246
327;93
328;490;438
329;381;240
330;72;38
331;195;239
332;142
333;30;235
334;210;12
335;359;299
336;239;318
337;147;276
338;151;280
339;300;476
340;479;206
341;192;268
342;458;266
343;494;383;433
344;56;253
345;1;243
346;385;313
347;371;226
348;309;289
349;79;217
350;420;472
351;375
352;257;460;443
353;73;366
354;357;415
355;421;498
356;370;283
357;375;354
358;376
359;444;335
360;471;78
361;498;414;457
362;227;152
363;68;17
364;6;4
365;317;410
366;353;323
367;488;468;473
368;297;454
369;411;251
370;453;356
371;481;347
372;157;148
373;389
374;463;234;388
375;395;351;357
376;452;358;490
377;457
378;410;232
379;196;103
380;187;300
381;175;329
382;432;444
383;343
384;400
385;487;346
386;455;394
387;250;478
388;374
389;404;221;373
390;144;227
391;429
392;138;271
393;469;497
394;386
395;78;375
396;442
397;447;309
398;450
399;422;291
400;401;133;384
401;316;400
402;463
403;498
404;268;389
405;407;297
406;229;73
407;499;405
408;489;225
409;295;499
410;365;378
411;430;369;487
412;246;163
413;436
414;361
415;354;187
416;445;272;452
417;241;155
418;177;171
419;302;177
420;216;350
421;425;355
422;280;399
423;446;459;469
424;445
425;454;93;421
426;67;247
427;289;255
428;14;317
429;467;391
430;265;411
431;323;256
432;207;382;282;480
433;343;450
434;488
435;472;467
436;141;413;485
437;470
438;328;466
439;305
440;259;453
441;152;259
442;456;396
443;352;269
444;382;359
445;497;416;424
446;486;423
447;167;397
448;457;493
449;471
450;433;398
451;496
452;416;376;461
453;440;370
454;368;425
455;106;386;477
456;463;442
457;361;377;448;464
458;254;342
459;423
460;352
461;452
462;493
463;272;456;308;374;402
464;457
465;469
466;438
467;435;237;429
468;367;141
469;423;393;465
470;217;262;437
471;133;360;449
472;350;295;435
473;367;257
474;483;229
475;45;129
476;339;270
477;455
478;387;25
479;318;340
480;432
481;173;371
482;486
483;251;474;496
484;256
485;436;307
486;141;482;446
487;411;385
488;494;367;434
489;307;408;492
490;376;328
491;100;195
492;489
493;448;320;462
494;93;106;343;488
495;308
496;483;451
497;393;445
498;355;361;403
499;409;407
